title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location
The Bridge between the LexisNexis Directory of Corporate Affiliations and the U.S. Business Register,,"The purpose of this matching exercise is to construct a concordance between the international corporate ownership structure information available in the LexisNexis Directory of Corporate Affiliations (DCA), and the Business Register (BR) of the U.S. Census Bureau. As there exists no identifier link between the two datasets, the principal merging procedure will utilize name and address information from each dataset to match at the establishment-level. This document will summarize each dataset, describe the principal features and issues surrounding the matching exercise, outline in detail each step of the procedure, and finally provide some summary statistics of the match.",2015,2015-01-01,0,"{'Aaron Flaaen', 'Yue Maggie Zhou'}",,Cooperative Studies and Economics,,article,Aaron B Flaaen,https://openalex.org/A5081886594,Survey of Plant Capacity Utilization; Foreign Trade Data - Import; Census Bureau,Census Bureau,Michigan
Vulnerable Jobs and the Wage Effects of Import Competition,https://doi.org/10.1111/irel.12240,"Do job characteristics modulate the relationship between import competition and workers’ wages? Using pooled cross‐sectional, linked employee‐establishment Census Bureau microdata and O* NET occupational characteristics, the paper models import competition and wages for more than 1.6 million individuals, grouped by job vulnerability defined by routineness, analytic complexity, and interpersonal interaction. Results show import competition is associated with wages that are: lower in routine and less complex jobs; higher in nonroutine and complex jobs; and higher for the highest and lowest levels of interpersonal interaction. This demonstrates the importance of accounting for occupational characteristics in understanding how trade and wages relate.",2019,2019-06-10,1,"{'David L. Rigby', 'Abigail M. Cooke', 'Thomas Kemeny'}","University at Buffalo, State University of New York; University of London; Universidad de Londres; University of London; Universidad de Londres",Employment and Welfare Studies; Labor market dynamics and wage inequality; Global trade and economics,Industrial Relations A Journal of Economy and Society,article,Abigail M Cooke,https://openalex.org/A5072101814,LEHD Geocoded Address List (GAL) - 2008; Current Population Survey March Supplement; Census Bureau,Census Bureau,Triangle
Impacts of Trade on Wage Inequality across the United States: Analysis Using Matched Employer-Employee Data - eScholarship,,"The research presented in this dissertation examines the impacts of trade from low-wage countries on U.S. labor markets. Analysis explores how imports from low-wage countries influence the wages of workers with high- and low-levels of education and how such trade may be related to growing wage inequality. Linkages between import competition and low-wage imports at the national level are extended to individual census regions to provide some of the first sub-national data linking trade and wage inequality. Standard models of trade impacts by education-skill categories also are extended to capture the influence of task-based characteristics of work. Finally, the effects of import competition from low-wage countries on the likelihood of plant closure are examined. Engaging with the most recent theoretical models of trade, the empirical analysis presented in this dissertation uses detailed microdata from the U.S. Census Bureau. Those data are used to link individual workers to manufacturing plants and firms. The resulting employer-employee files are appended with data on the task characteristics of different occupations and with measures of import competition built-up from individual trade transaction data. The result is one of the most comprehensive datasets yet built connecting measures of trade to the characteristics of jobs, workers and business establishments spanning the years 1992-2007. Analysis of these data yields insights into the socially and spatially uneven consequences of trade. This dissertation finds that low-wage import competition is significantly related to increased inequality, driving down wages for workers with low levels of formal education and driving up wages for workers with high levels of education. The results indicate that import competition increases the nonproduction worker share of total wages within establishments, another measure of wage inequality related to differences in worker skills/education. It also reveals that the relationship between wage inequality and low-wage import competition varies substantially across U.S. regions. Furthermore, this dissertation finds that task intensity measures of routineness, complexity, and interpersonal interaction in a worker's occupation significantly mediate the effect of low-wage import competition on workers' wages. It also finds that low-wage import competition significantly raises the likelihood of manufacturing plant closure.",2014,2014-01-01,0,{'Abigail M. Cooke'},,Regional Economic and Spatial Analysis,,article,Abigail M Cooke,https://openalex.org/A5072101814,LEHD Geocoded Address List (GAL) - 2008; Current Population Survey March Supplement; Census Bureau,Census Bureau,Triangle
Impacts of Trade on Wage Inequality across the United States: Analysis Using Matched Employer-Employee Data,,"Author(s): Cooke, Abigail Montague | Advisor(s): Rigby, David L | Abstract: The research presented in this dissertation examines the impacts of trade from low-wage countries on U.S. labor markets. Analysis explores how imports from low-wage countries influence the wages of workers with high- and low-levels of education and how such trade may be related to growing wage inequality. Linkages between import competition and low-wage imports at the national level are extended to individual census regions to provide some of the first sub-national data linking trade and wage inequality. Standard models of trade impacts by education-skill categories also are extended to capture the influence of task-based characteristics of work. Finally, the effects of import competition from low-wage countries on the likelihood of plant closure are examined. Engaging with the most recent theoretical models of trade, the empirical analysis presented in this dissertation uses detailed microdata from the U.S. Census Bureau. Those data are used to link individual workers to manufacturing plants and firms. The resulting employer-employee files are appended with data on the task characteristics of different occupations and with measures of import competition built-up from individual trade transaction data. The result is one of the most comprehensive datasets yet built connecting measures of trade to the characteristics of jobs, workers and business establishments spanning the years 1992-2007. Analysis of these data yields insights into the socially and spatially uneven consequences of trade. This dissertation finds that low-wage import competition is significantly related to increased inequality, driving down wages for workers with low levels of formal education and driving up wages for workers with high levels of education. The results indicate that import competition increases the nonproduction worker share of total wages within establishments, another measure of wage inequality related to differences in worker skills/education. It also reveals that the relationship between wage inequality and low-wage import competition varies substantially across U.S. regions. Furthermore, this dissertation finds that task intensity measures of routineness, complexity, and interpersonal interaction in a worker's occupation significantly mediate the effect of low-wage import competition on workers' wages. It also finds that low-wage import competition significantly raises the likelihood of manufacturing plant closure.",2014,2014-01-01,0,{'Abigail M. Cooke'},,Global trade and economics; Regional Economic and Spatial Analysis; Unemployment and Economic Growth,,article,Abigail M Cooke,https://openalex.org/A5072101814,LEHD Geocoded Address List (GAL) - 2008; Current Population Survey March Supplement; Census Bureau,Census Bureau,Triangle
Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data,https://doi.org/10.31235/osf.io/ktmz9,"The U.S. Census Bureau is researching possible uses of administrative records in decennial census and survey operations. The 2010 Census Match Study and American Community Survey (ACS) Match Study represent recent efforts by the Census Bureau to evaluate the extent to which administrative records provide data on persons and addresses in the 2010 Census and 2010 ACS. The 2010 Census Match Study also examines demographic response data collected in administrative records. Building on this analysis, we match data from the 2010 ACS to federal administrative records and third party data as well as to previous census data and examine administrative records coverage and agreement of ACS age, sex, race, and Hispanic origin responses. We find high levels of coverage and agreement for sex and age responses and variable coverage and agreement across race and Hispanic origin groups. These results are similar to findings from the 2010 Census Match Study.",2017,2017-01-11,5,"{'Renuka Bhaskar', 'Adela Luque', 'Sonya Rastogi', 'James Noon'}",,"Health disparities and outcomes; Gender, Labor, and Family Dynamics; Healthcare Policy and Management",,preprint,Adela Luque,https://openalex.org/A5110302993,Decennial Census; Census Bureau,Decennial Census; Census Bureau,Washington
The Nature of the Bias When Studying Only Linkable Person Records: Evidence from the American Community Survey,,"Record linkage across survey and administrative records sources can greatly enrich data and improve their quality. The linkage can reduce respondent burden and nonresponse follow-up costs. This is particularly important in an era of declining survey response rates and tight budgets. Record linkage also creates statistical bias, however. The U.S. Census Bureau links person records through its Person Identification Validation System (PVS), assigning each record a Protected Identification Key (PIK). It is not possible to reliably assign a PIK to every record, either due to insufficient identifying information or because the information does not uniquely match any of the administrative records used in the person validation process. Non-random ability to assign a PIK can potentially inject bias into statistics using linked data. This paper studies the nature of this bias using the 2009 and 2010 American Community Survey (ACS). The ACS is well-suited for this analysis, as it contains a rich set of person characteristics that can describe the bias. We estimate probit models for whether a record is assigned a PIK. The results suggest that young children, minorities, residents of group quarters, immigrants, recent movers, low-income individuals, and non-employed individuals are less likely to receive a PIK using 2009 ACS. Changes to the PVS process in 2010 significantly addressed the young children deficit, attenuated the other biases, and increased the validated records share from 88.1 to 92.6 percent (person-weighted).",2014,2014-01-01,27,"{'Brittany Bond', 'Adela Luque', 'J. David Brown'}",,Data Quality and Management; Healthcare Policy and Management; Census and Population Estimation,RePEc: Research Papers in Economics,preprint,Adela Luque,https://openalex.org/A5110302993,Decennial Census; Census Bureau,Census Bureau,Washington
2010 American Community Survey Match Study,https://doi.org/10.31235/osf.io/pfvhu,"Using administrative records data from federal government agencies and commercial sources,the 2010 ACS Match Study measures administrative records coverage of 2010 ACS addresses,persons, and persons at addresses at different levels of geography as well as by demographiccharacteristics and response mode. The 2010 ACS Match Study represents a continuation of theresearch undertaken in the 2010 Census Match Study, the first national‐level evaluation ofadministrative records data coverage.Preliminary results indicate that administrative records provide substantial coverage foraddresses and persons in the 2010 ACS (92.7 and 92.1 percent respectively), and less extensivethough substantial coverage, for person‐address pairs (74.3 percent). In addition, somevariation in address, person and/or person‐address coverage is found across demographic andresponse mode groups. This research informs future uses of administrative records in surveyand decennial census operations to address the increasing costs of data collection and decliningresponse rates.",2017,2017-02-14,5,"{'Renuka Bhaskar', 'Adela Luque'}",United States Census Bureau; United States Census Bureau,"Urban, Neighborhood, and Segregation Studies; Homelessness and Social Issues; Health disparities and outcomes",,preprint,Adela Luque,https://openalex.org/A5110302993,Decennial Census; Census Bureau,Decennial Census,Washington
Nonemployer Statistics by Demographics (NES-D): Using Administrative and Census Records Data in Business Statistics,,"The quinquennial Survey of Business Owners or SBO provided the only comprehensive source of information in the United States on employer and nonemployer businesses by the sex, race, ethnicity and veteran status of the business owners. The annual Nonemployer Statistics series (NES) provides establishment counts and receipts for nonemployers but contains no demographic information on the business owners. With the transition of the employer component of the SBO to the Annual Business Survey, the Nonemployer Statistics by Demographics series or NES-D represents the continuation of demographics estimates for nonemployer businesses. NES-D will leverage existing administrative and census records to assign demographic characteristics to the universe of approximately 24 million nonemployer businesses (as of 2015). Demographic characteristics include key demographics measured by the SBO (sex, race, Hispanic origin and veteran status) as well as other demographics (age, place of birth and citizenship status) collected but not imputed by the SBO if missing. A spectrum of administrative and census data sources will provide the nonemployer universe and demographics information. Specifically, the nonemployer universe originates in the Business Register; the Census Numident will provide sex, age, place of birth and citizenship status; race and Hispanic origin information will be obtained from multiple years of the decennial census and the American Community Survey; and the Department of Veteran Affairs will provide administrative records data on veteran status. The use of blended data in this manner will make possible the production of NES-D, an annual series that will become the only source of detailed and comprehensive statistics on the scope, nature and activities of U.S. businesses with no paid employment by the demographic characteristics of the business owner. Using the 2015 vintage of nonemployers, initial results indicate that demographic information is available for the overwhelming majority of the universe of nonemployers. For instance, information on sex, age, place of birth and citizenship status is available for over 95 percent of the 24 million nonemployers while race and Hispanic origin are available for about 90 percent of them. These results exclude owners of C-corporations, which represent only 2 percent of nonemployer firms. Among other things, future work will entail imputation of missing demographics information (including that of C-corporations), testing the longitudinal consistency of the estimates, and expanding the set of characteristics beyond the demographics mentioned above. Without added respondent burden and at lower imputation rates and costs, NES-D will meet the needs of stakeholders as well as the economy as a whole by providing reliable estimates at a higher frequency (annual vs. every 5 years) and with a more timely dissemination schedule than the SBO.",2019,2019-01-01,3,"{'Renuka Bhaskar', 'James Noon', 'Kevin Rinz', 'Adela Luque', 'Victoria Udalova'}",,Firm Innovation and Growth; Entrepreneurship Studies and Influences; Labor market dynamics and wage inequality,RePEc: Research Papers in Economics,preprint,Adela Luque,https://openalex.org/A5110302993,Decennial Census; Census Bureau,Decennial Census,Washington
Technology Use and Worker Outcomes: Evidence from Linked Employer Employee Data,,"In the course of our project we have produced several papers using the Survey of Manufacturing Technologies, the Business Register and the Decennial Census in combination with external Unemployment Insurance Earnings Record files from the State of Maryland. In this Technical Report we discuss the benefits to the Census Bureau based on the results of this project. We focus on four sets of results. First, economic survey data can be successfully integrated with Decennial and administrative record data to increase the value of existing economic data products. We show that the resulting sample sizes are sufficiently large to justify the effort. Second, we demonstrate that the Survey of Manufacturing Technologies (SMT) has a significant longitudinal component that approximates 15% of the sample of plants. The sample is not representative of the population of surviving firms of similar characteristics. However, sample weights can be created to address this issue. Third, we show the viability of using the SMT for single state studies. We find that the SMT Maryland sample is fairly representative of manufacturing plants in Maryland although they tend to be somewhat younger and larger than the average for the state. Fourth, we show that the composition of the workforce varies considerably across plants of different technological intensity. We show how integrated microeconomic data can be used to shed light on the underlying factors behind this variation.",2008,2008-01-01,0,"{'Javier Miranda', 'Adela Luque'}",,Firm Innovation and Growth; Italy: Economic History and Contemporary Issues,,article,Adela Luque,https://openalex.org/A5110302993,Decennial Census; Census Bureau,Decennial Census; Census Bureau,Washington
The Impact of Immigration on Firms and Workers: Insights from the H-1B Lottery,https://doi.org/10.2139/ssrn.4431106,"We study how random variation in the availability of highly educated, foreign-born workers impacts firm performance and recruitment behavior. We combine two rich data sources: 1) administrative employer-employee matched data from the US Census Bureau; and 2) firm-level information on the first large-scale H-1B visa lottery in 2007. Using an event-study approach, we find that lottery wins lead to increases in firm hiring of college- educated, immigrant labor along with increases in scale and productivity. Skill-intensive, high-paying firms expand the most after winning the H-1B lottery. We find limited evidence of displacement effects on native-born, college-educated workers.",2023,2023-01-01,14,"{'Parag Mahajan', 'Nicolas Morales', 'Kevin Shih', 'Mingyu Chen', 'Agostina Brinatti'}","University of Michigan–Ann Arbor; IZA - Institute of Labor Economics; University of Delaware; Federal Reserve Bank of Richmond; Queens College, CUNY","Migration, Ethnicity, and Economy; Names, Identity, and Discrimination Research; Franchising Strategies and Performance",SSRN Electronic Journal,article,Agostina Brinatti,https://openalex.org/A5000068654,Census Bureau,Census Bureau,Fed Board
