Unnamed: 0,Title,RDC,Start Year,End Year,PI,Abstract,FSRDC Evidence,# of Papers,# of FSRDC-Relevant Papers,Has FSRDC Evidence?,doi,openalex_id,publication_year,host_organization_name,is_published,type_crossref,author,cited_by_count,primary_topic,field,updated_date,orcid_id,author_affiliation,author_address_locality,author_address_region,author_address_country,Data_Source,Agency,Keywords,Record_ID
2,"evicted america: national study of eviction prevalence, causes, and consequences",Baruch,2019,2022.0,Ashley Gromis,"We study the prevalence, causes, and consequences of eviction in the United States. We will use the 2017 American Housing Survey, which contains measures of informal as well as formal eviction, and the 2018 Rental Housing Finance Survey, when it becomes available. We will first produce national and regional estimates of the prevalence of types of evictions, comparing the frequency of formal and informal eviction. Next, we will document the causes of eviction, focusing on the importance of demographic and socioeconomic factors, including family type, gender, and income level. To inform policy and programmatic responses, we will then analyze the consequences of eviction on housing search, housing quality, and neighborhood quality. We will employ logistic regression models that account for other factors relevant to our outcomes.",True,10.0,1.0,True,https://doi.org/10.1037/0003-066x.59.2.77,https://openalex.org/W1996656518,2004.0,American Psychological Association,False,journal-article,Gary W. Evans,2292.0,Early Childhood Education and Development,Social Sciences,2025-03-26T20:02:29.687652,0000-0002-4649-9287,Toronto Rehabilitation Institute - University Centre,Toronto,ON,CA,Step 2 Enriched Scraping + API,,,Step 2 Original_2
3,an evaluation of the impact of the social security disability insurance program on labor force participation during the 1990s,Chicago,2007,2007.0,Susan E Chen,"This study will evaluate the impact of the Social Security Disability Insurance program (SSDI) on the labor force behavior of men. I will use two main approaches. First, I will follow Bound (1989) using a more current dataset, with more complete information on rejected SSDI applicants. This technique will produce a more precise upper bound on the elasticity of SSDI participation. Second, in addition to providing an upper bound, I will adopt a quasi-experimental approach to provide a point estimate of the impact for an important sub-sample of applicants: those whose eligibility is based in part on vocational factors. More specifically, with data on rejected as well as accepted SSDI applicants, I will be able to exploit the idiosyncrasies of the Social Security Administration’s Disability Determination Process. I will be able to show that the SSDI participation rule fits within a quasi-experimental design framework that has recently gained significant attention in the economics literature: the Regression Discontinuity Design. The data that will be used are the 1990-1996 panels of SIPP exact matched to the Social Security Disability Determination 831 file. Creation of this new dataset will enhance the reach of the SIPP data in three ways. First, by matching the SIPP to Social Security data, I will obtain a more accurate measure of SSDI participation than available in the SIPP. Second, I will be to study the accuracy of and relationships between self-reported SSDI benefit receipt, health measures and disability status in the SIPP. And third, I will be able to compare the level of mis-reporting across all five panels of the SIPP.",True,10.0,0.0,False,https://doi.org/10.1257/002205102762203576,https://openalex.org/W3124469745,2002.0,American Economic Association,False,journal-article,Rebecca M. Blank,724.0,"Gender, Labor, and Family Dynamics",Social Sciences,2025-03-24T10:52:59.233350,0000-0001-7281-6488,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_3
7,hedonic models of real estate and labor markets,Chicago,2007,2012.0,Bhashkar Mazumder,"The proposed research program will develop and implement methods to estimate hedonic price supply and demand models applied to two important classes of empirical economic issues where hedonic models are applicable, real estate and labor markets. Since these models include attributes that are highly location specific, this project will also develop and implement methods to link the micro-observations of Census Bureau datasets to micro-observations of other Census Bureau datasets and to external datasets. This linkage will be based on locations of the micro-observations, i.e., their physical geospatial proximity with each other, and will be performed using Geographic Information Systems (GIS). These two activities, development of hedonic prices and geospatial linking, form the principal benefits to the Census Bureau. In addition, through the application of these models to specific topics of interest, we will also generate bene-fits to specific Census Bureau surveys, such as the American Housing Survey and other surveys used through the course of the project. In order to apply hedonic models to study location issues, datasets containing highly detailed geographic information and robust methods for establishing the geospatial relationships are required. The project will use GIS modeling tools to create the necessary statistical measures of collocation that will enable us to examine specific topics using the hedonic approach. In addition, part of the proposed research will develop new methodological approaches that address some of the theoretical and empirical shortcomings with the classical hedonic model. The topics that will be studied in this project include: an analysis of residential real estate markets; an analysis of school quality, education, location, and neighborhood effects; commercial real estate markets and community economic development; and a hedonic analysis of labor markets.  This research program is focused not only on developing the data sources and tools needed to apply the hedonic approach to these questions but also on testing our progress with a series of interrelated topical studies that focus on some of these aspects. While the longer term goal is a more integrated assessment of the hedonic values across all of these factors, we begin with examining several more “manageable” sized research topics in this general area by incrementally developing the data and tools needed to measure the aforementioned community factors and estimate the hedonic prices associated with them. In doing so we also expect to address some important social science research questions with better data and better methodology.",True,10.0,1.0,True,https://doi.org/10.1016/s0921-8009(02)00089-7,https://openalex.org/W2129974232,2002.0,Elsevier BV,False,journal-article,R.S. de Groot,4570.0,Land Use and Ecosystem Services,Environmental Science,2025-03-26T07:35:37.077655,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_7
11,estimating the cost saving from incentive-based environmental policy when cost are heterogeneous,Washington,2002,2004.0,Jhih-shyang Shih,"The degree of heterogeneity among pollution sources in their marginal costs of pollution abatement may be the single most important factor affecting the relative cost of economic incentive-based versus other approaches to achieving environmental performance.  We will develop econometrically estimable, structural models of plant-level pollution abatement costs that explicitly allow for significant heterogeneity.  After estimating these models using Census data, they will first assess the degree and sources of cost heterogeneity, and then use simulations to measure the potential gains from using economic incentives relative to other regulatory approaches.",True,10.0,0.0,False,https://doi.org/10.1162/003355300555475,https://openalex.org/W2101736928,1997.0,Oxford University Press,False,journal-article,Steve Knack,7501.0,Social Capital and Networks,Social Sciences,2025-03-29T00:45:49.149618,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_11
22,california immigrant families and welfare reform,Berkeley,2002,2005.0,Henry E Brady,"This proposal is part of a larger study of the impact of welfare reform on California’s immigrant families. We propose to use the Survey of Income and Program Participation (SIPP) and Current Population Survey (CPS) linked to two major statewide administrative data sets in California, the Medi-Cal Eligibility Data System (MEDS) of the California Department of Health Services and Unemployment Insurance/Disability Insurance (hereafter referred to as EDD data) of the California Employment Development Department. The linkage of these data sets will produce longitudinal files for the California sub-sample of the CPS and SIPP with detailed information on immigration status and household characteristics combined with administrative data on public assistance program participation and earnings over time. The proposed research will benefit the Census Bureau in a number of distinct ways. First, it will provide the Census Bureau with a basis to evaluate the accuracy of important self-reported measures in the Survey of Income and Program Participation (SIPP) and the Current Population Survey (CPS), including Medicaid coverage, receipt of cash aid, Food Stamps, and Supplemental Security Income (SSI). This validation will be valuable for the future use of these surveys because SIPP and CPS tend to differ significantly in their estimates of participation in these important programs. Second, comparing the SIPP and CPS data on program participation with the MEDS records will allow us to investigate differences between self-reports and administrative records for the two same individuals due to characteristics of the surveys, such as reference time periods and question wording, which are linked to the inaccuracies of survey respondents’ self reports. Third, the match of EDD records with CPS and SIPP records will provide us with estimates of the direction and size of errors in reported earnings in the surveys. Fourth, this match will enable us to examine more closely the differences in poverty measures and rates using the CPS and SIPP by comparing the two surveys to administrative wage records and public assistance use. Fifth, using the administrative data we will evaluate the Survey of Population Dynamics (SPD) for its ability to track the use of welfare programs. Finally, the proposed match offers important insights on the residence and movements of immigrants and will contribute to improving the Demographic Analysis population projections.",True,10.0,2.0,True,https://doi.org/10.2307/2080420,https://openalex.org/W2092127068,1993.0,Oxford University Press,False,journal-article,Alice Kessler-Harris,2037.0,American Constitutional Law and Politics,Social Sciences,2025-03-26T21:51:23.396051,0000-0001-7455-1567,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_22
29,role mothers: intergenerational transmission of attitudes towards work,Chicago,2021,2024.0,Kelly G Strada,"What were the main drivers of female labor force participation during World War II? Were there long-term consequences for women who entered the workforce and for their children? In order to address these questions, I make use of the Census Numident File combined with the 1940 Census to construct a novel intercensal measure of labor force entry--SSN first issuance--for the wives of draft-eligible men. After linking these data to the WWII Enlistment Records, I exploit the draft lottery to construct an individual-level instrument for married women's workforce entry. In doing so, I can disentangle the supply and demand-side drivers of female labor supply during WWII--the former being proxied by government spending by town--conditional on a rich set of covariates. Furthermore, I plan to leverage the longitudinal structure of PIK-ed mandatory surveys to assess the long-term consequences of female entry. Specifically, by using reduced form evidence and instrumental variable techniques, I intend to assess whether being a working woman increased the likelihood of divorce and whether the outcomes of children of working mothers differed substantially from those of non-working mothers. In order to address identification concerns, I plan to extend the analysis to elicit random variation in the entry of female neighbors. Preliminary results suggest that a man's draft status (and timing) strongly predicts his wife's labor force entry: by accessing RDC data I wish to evaluate whether women paid a social cost for working and if their children benefited from having a working mother.",True,,,,https://doi.org/10.1093/esr/jcw037,https://openalex.org/W2481505561,2016.0,Oxford University Press,False,journal-article,Lucinda Platt,93.0,"Culture, Economy, and Development Studies",Social Sciences,2025-03-29T20:44:10.381744,0000-0002-8251-6400,London School of Economics,London,,GB,Step 2 Enriched Scraping + API,,,Step 2 Original_29
30,the social contexts of the children of immigrants in the u.s.,Baruch,2008,2010.0,Richard D Alba,"This project will reclassify the estimates of research and development (R&D) performance in the Survey of Industrial Research and Development (SIRD) from ﬁrm-based industries to establishment-based industries using a consistent industry classiﬁcation (NAICS) for the entire time series of the SIRD. The research will convey beneﬁts to the Census Bureau along three dimensions by producing estimates of R&D using establishment-based industry codes; by conducting data quality assessments of the SIRD data, which exploit the longitudinal nature of the data; and by analyzing ﬁrm-establishment relationships. The Census Bureau is currently in the process of a major redesign of the SIRD, so the insights gained from this project will be particularly timely in contributing to the improvement of the future versions of the SIRD. The project will make an important contribution to the Census Bureau’s eﬀorts to classify economic information on an establishment basis by identifying the establishments within each ﬁrm that are most likely to perform the ﬁrm’s R&D. Identifying these establishments within each ﬁrm will also substantially improve the Census Bureau’s eﬀ orts to accurately measure economic activity within states because many R&D-performing companies have establishments in more than one state.",True,10.0,0.0,False,https://doi.org/10.1177/019791839402800407,https://openalex.org/W3124218611,1994.0,SAGE Publishing,False,journal-article,Rubén G. Rumbaut,1151.0,Racial and Ethnic Identity Research,Social Sciences,2025-03-30T18:47:07.303570,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_30
36,"the decennial employee-employer database: construction, assessment, and application to the study of residential and labor market segregation",Washington,2001,2005.0,Judith K Hellerstein,"The proposed research will accomplish two goals.  The first goal is the completion of the construction of a unique, very large, representative data set on workers, employers, and employer characteristics, where the employer characteristics are obtained in part from information on the multiple workers working for each employer.  For each individual worker in the data, this data set will also include detailed information on both residential location and geographic location of the place of work.  This matched employee-employer data set will represent a significant improvement upon existing matched data sets for the U.S., and result in gains to the Census Bureau in terms of new data products and improvements in current data programs.  The second goal is to complete a number of projects exploiting these data to bring new evidence to bear on the alternative supply-side explanations of racial, ethnic, and language differences in labor market outcomes, and in so doing not only test these explanations but also provide an assessment of their importance relative to demand-side theories.",True,10.0,0.0,False,https://doi.org/10.2307/20079047,https://openalex.org/W3143388781,2003.0,,False,journal-article,Hellerstein,55.0,Gender Diversity and Inequality,Social Sciences,2025-03-22T19:19:00.931433,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_36
39,an examination of adoption and utilization of electronic commerce technologies within us firms,Triangle,2008,2011.0,Raja P Velu,"This project examines the impact of the tax treatment of health insurance on health coverage and spending patterns. The second component is an assessment of the eﬀect of health insurance coverage, and policies that aﬀect health insurance coverage, on measures of the quality of care based on the Commonwealth Fund state scorecard. The Internet and its underlying technology have enabled businesses to redesign their processes to take advantage of the capabilities of the Internet as well as to create new ways of communicating and coordinating diverse activities. In addition, both the intranet and extranet have oﬀered ample means for an enterprise to create (or add) value. This has resulted in new and unique challenges for data collection. This project investigates measurement issues related to electronic commerce and produces estimates of the eﬀects of e-commerce on productivity. The project will also examine the impact of computer networks on business processes and on various elements of the supply chain. The study will examine the types of enterprises that use Electronic Commerce Technology (ECT), examine how ECT aﬀects e-supply chain and transforms production, deter-mine if and how the use of ECT results in value addition (or creation), and determine the adequacy of the measures used by the U.S. Census Bureau. The research will generate estimates of the eﬀect of e-commerce on productivity in manufacturing plants. The investigation will determine whether plants that invested in e-commerce technology received returns in the form of added productivity gains. The researchers’ investigation using Census Bureau data can lead to a detailed examination of whether the data are consistent with one of these hypotheses and identify sources of potential e-commerce measurement problems. They will investigate in an e-commerce framework the applicability and robustness of traditional production function estimation, issues related to incorporation of knowledge, manufacturing processes, and quality improvement into the production function, and issues related to industry type and geographic concentration of industries.",True,10.0,0.0,False,https://doi.org/10.2307/3250959,https://openalex.org/W2170440506,2001.0,MIS Quarterly,False,journal-article,Viswanath Venkatesh,1353.0,Technology Adoption and User Behaviour,Decision Sciences,2025-03-25T06:38:36.143390,0000-0001-8473-376X,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_39
44,plant-level responses to administered trade protection,Michigan,2003,2005.0,Jim A Levinsohn,"An economic evaluation of how plants respond to particular instances of administered protection would improve Census Bureau data, general decision-making capabilities, and the understanding of the plant-level impacts of protection. Administered trade is extended through various segments of the federal government to industries under duress from unfair trade practices. The actual impacts of such trade policy actions are unclear, both practically and academically. This project intends to prepare estimates of productivity for certain industries, thereby adding to available estimates that describe the characteristics of the Longitudinal Research Database (LRD). Possible shortcomings and the documentation of new data collection needs will derive from our comparisons of estimated industry productivity for actual Annual Survey of Manufactures respondents and estimates based of LRD imputations for non-respondents. Differences may be significant between the two, due to the disparities in the possible conditions of plants used for imputation relative to the state of plants for which data was imputed. Lastly, this project intends to help understand LRD based estimates of productivity in relation to alternative productivity measures.",True,2.0,0.0,False,https://doi.org/10.1257/jep.9.4.97,https://openalex.org/W2090841340,1995.0,American Economic Association,True,journal-article,Michael E. Porter,10328.0,Sustainable Development and Environmental Policy,Environmental Science,2025-04-03T05:55:47.883876,0000-0002-1215-5873,Noble Research Institute LLC,Ardmore,OK,US,Step 2 Enriched Scraping + API,,,Step 2 Original_44
