pi,year,doi,title,title_clean
Anna Aizer,2024,10.1257/app.20210816,The Impact of Cash Transfers to Poor Mothers on Family Structure and Maternal Well-Being.,the impact of cash transfers to poor mothers on family structure and maternal well-being.
Stephen L Ross,2024,10.1073/pnas.2407322121,In-person learning during the pandemic: Student take-up and school-level effects of remote and hybrid instruction on student outcomes.,in-person learning during the pandemic: student take-up and school-level effects of remote and hybrid instruction on student outcomes.
Robert W Fairlie,2020,10.1016/j.jpubeco.2020.104287,Early evidence of the impacts of COVID-19 on minority unemployment.,early evidence of the impacts of covid-19 on minority unemployment.
Todd K Gardner,2018,10.1080/01615440.2018.1507772,Linking the 1940 U.S. Census with Modern Data.,linking the 1940 u.s. census with modern data.
Mo Xiao,2025,10.1088/1752-7163/adb208,Extraoral halitosis in functional dyspepsia and its association with small intestinal bacterial overgrowth.,extraoral halitosis in functional dyspepsia and its association with small intestinal bacterial overgrowth.
Christopher J Kurz,2022,10.1057/s11369-021-00250-3,Blending data to understand the economic impact of COVID-19.,blending data to understand the economic impact of covid-19.
Benjamin A Campbell,2012,10.1056/NEJMoa1210384,Low-dose aspirin for preventing recurrent venous thromboembolism.,low-dose aspirin for preventing recurrent venous thromboembolism.
Catherine A Fitch,2022,10.1080/01615440.2021.1985027,A New Strategy for Linking U.S. Historical Censuses: A Case Study for the IPUMS Multigenerational Longitudinal Panel.,a new strategy for linking u.s. historical censuses: a case study for the ipums multigenerational longitudinal panel.
Jennifer A Heerwig,2016,10.1016/j.ssresearch.2016.06.001,Donations and dependence: Individual contributor strategies in house elections.,donations and dependence: individual contributor strategies in house elections.
Maria Borga,2025,10.1186/s13613-025-01438-y,Oxygenation improvement and duration of prone positioning are associated with ICU mortality in mechanically ventilated COVID-19 patients.,oxygenation improvement and duration of prone positioning are associated with icu mortality in mechanically ventilated covid-19 patients.
Carolyn A Liebler,2025,10.1016/j.ssmph.2024.101742,Data impacts of changes in U.S. Census Bureau procedures for race and ethnicity data.,data impacts of changes in u.s. census bureau procedures for race and ethnicity data.
John R Graham,2023,10.1093/sw/swad049,What Social Workers Need to Know about Muslims: An Analysis of the Contemporary Social Work Scholarship.,what social workers need to know about muslims: an analysis of the contemporary social work scholarship.
Ian M Schmutte,2019,10.1080/07350015.2017.1356727,Modeling Endogenous Mobility in Earnings Determination.,modeling endogenous mobility in earnings determination.
Christian Dippel,2025,10.1016/j.ejca.2025.115356,First-line checkpoint inhibitor therapy in metastatic acral lentiginous melanoma compared to other types of cutaneous melanoma: A multicenter study from the prospective skin cancer registry ADOREG.,first-line checkpoint inhibitor therapy in metastatic acral lentiginous melanoma compared to other types of cutaneous melanoma: a multicenter study from the prospective skin cancer registry adoreg.
Daniel L Chen,2025,10.1371/journal.pone.0318790,"Motivated reasoning in the field: polarization of prose, precedent, and policy in U.S. Circuit Courts, 1891-2013.","motivated reasoning in the field: polarization of prose, precedent, and policy in u.s. circuit courts, 1891-2013."
Richard Dunn,2024,10.1080/00033790.2023.2282779,On being sufficiently exact: assessing navigational instruments in the eighteenth century.,on being sufficiently exact: assessing navigational instruments in the eighteenth century.
Mu-Jeung Yang,2023,10.1007/s10797-023-09778-w,The COVID-19 state sales tax windfall.,the covid-19 state sales tax windfall.
Craig Carpenter,2024,10.1215/00703370-11374710,A Research Note on Community Resilience Estimates: New U.S. Census Bureau Data With an Application to Excess Deaths From COVID-19.,a research note on community resilience estimates: new u.s. census bureau data with an application to excess deaths from covid-19.
Daniel Tannenbaum,2024,10.1093/qje/qjad042,Eviction and Poverty in American Cities.,eviction and poverty in american cities.
Lawrence D Schmidt,2024,10.1103/PhysRevLett.133.261903,Upper Limit on the Photoproduction Cross Section of the Spin-Exotic π_{1}(1600).,upper limit on the photoproduction cross section of the spin-exotic π_{1}(1600).
Adam Kolasinski,2022,10.3390/pharmaceutics14081686,"Zinc(II), Palladium(II), and Metal-Free Phthalocyanines Bearing Nipagin-Functionalized Substituents against ","zinc(ii), palladium(ii), and metal-free phthalocyanines bearing nipagin-functionalized substituents against"
Gabriel Unger,2023,10.1038/s41598-023-30373-w,A suture anchor-based repair technique for type IV jersey finger injuries: a biomechanical investigation.,a suture anchor-based repair technique for type iv jersey finger injuries: a biomechanical investigation.
Mahour M Mellat-Parast,2020,10.3390/s20247194,Automatic Detection of Individual Trees from VHR Satellite Images Using Scale-Space Methods.,automatic detection of individual trees from vhr satellite images using scale-space methods.
Joelle H Abramowitz,2015,10.1177/1077558714563173,The financial burden of medical spending: estimates and implications for evaluating the impact of ACA reforms.,the financial burden of medical spending: estimates and implications for evaluating the impact of aca reforms.
Adriana Kugler,2017,10.1007/s13524-017-0575-1,"Preference for Boys, Family Size, and Educational Attainment in India.","preference for boys, family size, and educational attainment in india."
James D Gaboardi,2024,10.1038/s41597-023-02859-9,"Optimized spatial information for 1990, 2000, and 2010 U.S. census microdata.","optimized spatial information for 1990, 2000, and 2010 u.s. census microdata."
Michael Lovenheim,2022,10.1257/jel.20201482,The Economics of Tobacco Regulation: A Comprehensive Review.,the economics of tobacco regulation: a comprehensive review.
Jeffrey Shrader,2024,10.1126/sciadv.adq3367,Heat disproportionately kills young people: Evidence from wet-bulb temperature in Mexico.,heat disproportionately kills young people: evidence from wet-bulb temperature in mexico.
Henry Friedman,2024,10.1038/s41467-024-51315-8,A real-world observation of patients with glioblastoma treated with a personalized peptide vaccine.,a real-world observation of patients with glioblastoma treated with a personalized peptide vaccine.
Ashley Gromis,2022,10.1016/j.cities.2022.103749,Eviction from public housing in the United States.,eviction from public housing in the united states.
Kelly Hewett,2024,10.1103/PhysRevLett.132.065102,Achievement of Target Gain Larger than Unity in an Inertial Fusion Experiment.,achievement of target gain larger than unity in an inertial fusion experiment.
Michelle Lam,2025,10.1002/mrm.30465,Interpretation of inhomogeneous magnetization transfer in myelin water using a four-pool model with dipolar reservoirs.,interpretation of inhomogeneous magnetization transfer in myelin water using a four-pool model with dipolar reservoirs.
Thomas Philippon,2024,10.3390/antibiotics13070611,"Investigating the Bactericidal Activity of an Ocular Solution Containing EDTA, Tris, and Polysorbate 80 and Its Impact on the In Vitro Efficacy of Neomycin Sulfate against ","investigating the bactericidal activity of an ocular solution containing edta, tris, and polysorbate 80 and its impact on the in vitro efficacy of neomycin sulfate against"
Kai-Jie Wu,2018,10.4103/aja.aja_34_17,PSA time to nadir as a prognostic factor of first-line docetaxel treatment in castration-resistant prostate cancer: evidence from patients in Northwestern China.,psa time to nadir as a prognostic factor of first-line docetaxel treatment in castration-resistant prostate cancer: evidence from patients in northwestern china.
Lina Yu,2025,10.1016/j.theriogenology.2025.117401,DDX5 regulates asymmetric division of mouse oocytes by modulating the stability of microfilament-associated protein radixin.,ddx5 regulates asymmetric division of mouse oocytes by modulating the stability of microfilament-associated protein radixin.
Ryun Jung Lee,2023,10.1177/23998083231160542,Using neighborhood characteristics to predict vacancy types: Comparing multi-scale conditions surrounding existing vacant lots.,using neighborhood characteristics to predict vacancy types: comparing multi-scale conditions surrounding existing vacant lots.
Shanthi Ramnath,2021,10.1016/j.jhealeco.2020.102396,Income Responses to the Affordable Care Act: Evidence from a Premium Tax Credit Notch.,income responses to the affordable care act: evidence from a premium tax credit notch.
Wookun Kim,2016,10.4143/crt.2014.209,Pazopanib for Non-small Cell Lung Cancer: The First Case Report in Korea.,pazopanib for non-small cell lung cancer: the first case report in korea.
Ning Zhang,2025,10.1080/14756366.2025.2481392,"Fourth-generation EGFR-TKI to overcome C797S mutation: past, present, and future.","fourth-generation egfr-tki to overcome c797s mutation: past, present, and future."
Abigail Weitzman,2024,10.1111/padr.12682,Child Death and Mothers' Subsequent Mental Health in a High-Mortality African Community.,child death and mothers' subsequent mental health in a high-mortality african community.
Timothy Wojan,2025,10.1371/journal.pone.0313826,A novel framework for increasing research transparency: Exploring the connection between diversity and innovation.,a novel framework for increasing research transparency: exploring the connection between diversity and innovation.
Chenzi Xu,2024,10.1121/10.0032356,A cross-linguistic review of citation tone production studies: Methodology and recommendations.,a cross-linguistic review of citation tone production studies: methodology and recommendations.
Maryann P Feldman,2016,10.1371/journal.pone.0157325,The Domino Effects of Federal Research Funding.,the domino effects of federal research funding.
Annemarie Schweinert,2023,10.1371/journal.pone.0294896,Cohort profile: Genetic data in the German Socio-Economic Panel Innovation Sample (SOEP-G).,cohort profile: genetic data in the german socio-economic panel innovation sample (soep-g).
Bin Wei,2025,10.1021/acsnano.4c18383,Targeted Collagen Degradation by an MRI Probe Facilitates siRNA Delivery for Sequential Theranostics in Pulmonary Fibrosis.,targeted collagen degradation by an mri probe facilitates sirna delivery for sequential theranostics in pulmonary fibrosis.
Jessica H Hardie,2024,10.7758/rsf.2024.10.5.07,Talk of Family: How Institutional Overlap Shapes Family-Related Discourse Across Social Class.,talk of family: how institutional overlap shapes family-related discourse across social class.
