"Title","Abstract","DOI","No. Researchers","Researchers","Year","RDC","Dataset Mentions","Keywords"
"phyloseq: An R Package for Reproducible Interactive Analysis and Graphics of Microbiome Census Data","Background The analysis of microbial communities through DNA sequencing brings many challenges: the integration of different types of data with methods from ecology, genetics, phylogenetics, multivariate statistics, visualization and testing. With the increased breadth of experimental designs now being pursued, project-specific statistical analyses are often needed, and these analyses are often difficult (or impossible) for peer researchers to independently reproduce. The vast majority of the requisite tools for performing these analyses reproducibly are already implemented in R and its extensions (packages), but with limited support for high throughput microbiome census data. Results Here we describe a software project, phyloseq, dedicated to the object-oriented representation and analysis of microbiome census data in R. It supports importing data from a variety of common formats, as well as many analysis techniques. These include calibration, filtering, subsetting, agglomeration, multi-table comparisons, diversity analysis, parallelized Fast UniFrac, ordination methods, and production of publication-quality graphics; all in a manner that is easy to document, share, and modify. We show how to apply functions from other R packages to phyloseq-represented data, illustrating the availability of a large number of open source analysis techniques. We discuss the use of phyloseq with tools for reproducible research, a practice common in other fields but still rare in the analysis of highly parallel microbiome census data. We have made available all of the materials necessary to completely reproduce the analysis and figures included in this article, an example of best practices for reproducible research. Conclusions The phyloseq project for R is a new open-source software package, freely available on the web from both GitHub and Bioconductor.","10.1371/journal.pone.0061217","2.0","Paul J. McMurdie; Susan Holmes","2013.0","","","phyloseq; r; package; graphics; microbiome; census"
"Sociodemographic Characteristics of Members of a Large, Integrated Health Care System: Comparison with US Census Bureau Data","Background: Data from the memberships of large, integrated health care systems can be valuable for clinical, epidemiologic, and health services research, but a potential selection bias may threaten the inference to the population of interest.Methods: We reviewed administrative records of members of Kaiser Permanente Southern California (KPSC) in 2000 and 2010, and we compared their sociodemographic characteristics with those of the underlying population in the coverage area on the basis of US Census Bureau data.Results: We identified 3,328,579 KPSC members in 2000 and 3,357,959 KPSC members in 2010, representing approximately 16% of the population in the coverage area.The distribution of sex and age of KPSC members appeared to be similar to the census reference population in 2000 and 2010 except with a slightly higher proportion of 40 to 64 year olds.The proportion of Hispanics/Latinos was comparable between KPSC and the census reference population (37.5% vs 38.2%, respectively, in 2000 and 45.2% vs 43.3% in 2010).However, KPSC members included more blacks (14.9% vs 7.0% in 2000 and 10.8% vs 6.5% in 2010).Neighborhood educational levels and neighborhood household incomes were generally similar between KPSC members and the census reference population, but with a marginal underrepresentation of individuals with extremely low income and high education.Conclusions: The membership of KPSC reflects the socioeconomic diversity of the Southern California census population, suggesting that findings from this setting may provide valid inference for clinical, epidemiologic, and health services research.","10.7812/tpp/12-031","8.0","Corinna Koebnick; Annette Langer‐Gould; Michael K. Gould; Chun Chao; Rajan L. Iyer; Ning Smith; Wansu Chen; Steven J. Jacobsen","2012.0","","","characteristics; members; large; integrated; health; care; us; census; bureau"
"Bird Census Techniques","","10.1016/c2009-0-03531-4","3.0","Colin J. Bibby; Neil Burgess; David B. Hill","1992.0","","","bird; census; techniques"
"A census of human cancer genes","","10.1038/nrc1299","8.0","P. Andrew Futreal; Lachlan Coin; Mhairi Marshall; Thomas A. Down; Tim Hubbard; Richard Wooster; Nazneen Rahman; Michael R. Stratton","2004.0","","","census; cancer; genes"
"The U.S. Census Bureau Adopts Differential Privacy","The U.S. Census Bureau announced, via its Scientific Advisory Committee, that it would protect the publications of the 2018 End-to-End Census Test (E2E) using differential privacy. The E2E test is a dress rehearsal for the 2020 Census, the constitutionally mandated enumeration of the population used to reapportion the House of Representatives and redraw every legislative district in the country. Systems that perform successfully in the E2E test are then used in the production of the 2020 Census. Motivation: The Census Bureau conducted internal research that confirmed that the statistical disclosure limitation systems used for the 2000 and 2010 Censuses had serious vulnerabilities that were exposed by the Dinur and Nissim (2003) database reconstruction theorem. We designed a differentially private publication system that directly addressed these vulnerabilities while preserving the fitness for use of the core statistical products.","10.1145/3219819.3226070","1.0","John M. Abowd","2018.0","","","u; s; census; bureau; adopts; differential; privacy"
"U.S. Census Bureau‐assessed prevalence of anxiety and depressive symptoms in 2019 and during the 2020 COVID‐19 pandemic","The disruptions to daily life caused by the coronavirus disease 2019 (COVID-19) pandemic may have impacted mental health, particularly mood disorders. This study aimed to compare prevalence rates of anxiety disorder and depressive disorder in national samples in the U.S. before and during the pandemic.Participants (n = 336,525) were from U.S. Census Bureau-administered nationally representative probability samples, one from the first half of 2019 and four during the pandemic in April and May 2020. All participants completed the Patient Health Questionnaire-2 screening for depressive disorder and the Generalized Anxiety Disorder-2 screening for anxiety disorders.Compared to U.S. adults in 2019, U.S. adults in April and May 2020 were more than three times as likely to screen positive for depressive disorders, anxiety disorders, or one or both, with more than one out of three screening positive for one or both. The prevalence of anxiety decreased slightly between the April 23-May 4, 2020 and the May 21-26, 2020 administrations, while the prevalence of depression increased slightly.U.S. adults in 2020 are considerably more likely to screen positive for mood disorders than in 2019, with anxiety declining and depression increasing from April to May.","10.1002/da.23077","2.0","Jean M. Twenge; Thomas E. Joiner","2020.0","","","u; s; census; bureau; prevalence; anxiety; symptoms; covid; pandemic"
"BIRD CENSUS TECHNIQUES","","10.1676/0043-5643(2001)113","1.0","Sara R. Morris","2001.0","","","bird; census; techniques"
"A census of human RNA-binding proteins","","10.1038/nrg3813","3.0","Stefanie Gerstberger; Markus Hafner; Thomas Tuschl","2014.0","","","census; rna; binding; proteins"
"Ecological Census Techniques","This is an updated version of the best selling first edition, Ecological Census Techniques, with updating, some new chapters and authors. Almost all ecological and conservation work involves carrying out a census or survey. This practically focussed book describes how to plan a census, the practical details and shows with worked examples how to analyse the results. The first three chapters describe planning, sampling and the basic theory necessary for carrying out a census. In the subsequent chapters international experts describe the appropriate methods for counting plants, insects, fish, amphibians, reptiles, mammals and birds. As many censuses also relate the results to environmental variability, there is a chapter explaining the main methods. Finally, there is a list of the most common mistakes encountered when carrying out a census.","10.1017/cbo9780511790508","14.0","William J. Sutherland; William J. Sutherland; William J. Sutherland; Jeremy J. D. Greenwood; Jeremy J. D. Greenwood; James M. Bullock; Malcolm Ausden; Isabelle M. Côté; Tim Halliday; Simon P. Blomberg; David W. Gibbons; Charles J. Krebs; Jacquelyn Jones; William J. Sutherland","2006.0","","","census; techniques"
"United States Bureau of the Census","","10.1108/err.1998.2.2.10.9","1.0","Paul Neuhaus","1998.0","","","united; states; bureau; census"
