title,abstract,source,is_fsrdc
What makes German manufacturing plants move locations?,"AbstractIn this paper, the relocation decisions of manufacturing plants across the NUTS-3 regions of the German economy are investigated. A relocation decision concerns whether a plant (an incumbent) moves its location from one region to another over a given time period or whether it remains in the same region. This decision is distinct from a location decision (of a start-up). To analyze the relocations of plants, the rich information of the official German regional statistics as well as the official German firm statistics that are maintained by the German Federal Statistical Office and the Statistical Offices of the Federal States is exploited for the first time. Both pull and push factors that influence relocation decisions are investigated. The results reveal that, in particular, regional road infrastructure and accessibility of regions as well as the quality of the available labor force positively affect the decision to relocate a plant in the German economy. A reduction of 10% in travel time by road to reach the three nearest agglomeration centers leads to an increase in relocation probability of about 9.5% on average. Policy implications involve the need for improvement of accessibility and infrastructure as well as incentives to support human capital in order to attract businesses to move to a region.",step2,True
"Indigenous residential segregation in towns and cities, 1976–2016","Indigenous people tend to live in different parts of Australian towns and cities than the non-Indigenous population. This is due to a combination of historic and contemporary government policies, the agency of Indigenous people, and the constraints placed on residential location by the interaction of the housing and labour markets. This study traces the trajectory of Indigenous residential segregation in 60 Australian towns and cities, using census data from 1976 to 2016. Segregation is measured using the index of dissimilarity and the threshold method. Indigenous residential segregation has been declining steadily since 1976 nationally. However, there has been a great deal of variation in segregation trajectories among towns and cities.  In Sydney and Melbourne, segregation remained relatively high over the study period. The level of segregation in 1976 appears to be related to the geographical remoteness of the town, with remote towns generally having lower levels of segregation in 1976. Segregation has been decreasing most rapidly in regional towns in New South Wales and Queensland. Finally, this study has found a long-run increase in the proportion of Indigenous residents living in highly Indigenous neighbourhoods, consistent with the increasingly close settlement of Indigenous people in Australian towns and cities. This trend is at odds with the apparent decrease in segregation found when segregation is measured using the index of dissimilarity. Detailed case studies may be required that examine how concrete historical geographies and policy legacies combine with contemporary housing markets to produce the configuration of segregation that we see today.",step2,True
The Economic Impact of Manufacturing Extension Centers," A recent U.S. Census survey indicates that two Illinois manufacturing extension centers affiliated with the national Manufacturing Extension Partnership have improved the performance of small Illinois firms and the Illinois state economy. During a 2-year period, the centers directly helped client firms create $22.5 million in sales and create or retain 483 jobs. These benefits, through their direct and indirect effects on the state economy, generated an estimated $119 million in new state output and 450 new state jobs during a 4-year period. State and local tax revenues increased by $9.5 million during the same period, comparing favorably with the $6 million 2-year funding for the two centers. These client-firm impacts occurred in industries important to state economic growth, high-wage employment, and competitiveness relative to the rest of the nation. ",step2,True
"How Many Melting Pots? Intermarriage, Pan ethnicity, and the Black/Non-Black Divide In the United States","This study uses the 1 in 6 Long Form Sample of 1990 Decennial United States Census to describe intermarriage patterns for a detailed set racial and ethnic groups determine whether notions assimilation, panethnicity, Black/non-Black divide differentiation States. Asian exhibit panethnicity their choices, tending intermarry with members other groups. Latino fit both assimilation some Whites others showing an affinity Latinos. Intermarriage also reveal deep between Blacks non-Blacks.",step2,True
American Children in Multiracial Households," This study provides a demographic portrait of multiracial households, using children as the units of analysis. The authors conceptualize three dimensions for understanding multiracialness: (1) the racial composition of a household overall, (2) where in the household a racial difference exists relative to the household head, and (3) where in the household a racial difference exists relative to each child. Using microdata from the 1980 U.S. census, the authors explore the first two of these dimensions and test two propositions about the links between racial diversity and other nonracial attributes of children's household environments. The finding is made, among other things, that the largest proportion of children live in Asian-white households, and that about 60% live in households headed by mixed-race couples. Support for the notion that attributes of multiracial households fall between those of their same-race counterparts was mixed. Nonetheless, there appears to be a link between location of diversity and some nonracial characteristics of the household. ",step2,True
PD25 Principal Component Approximation: Medical Expenditure Panel Survey,"Introduction:Principal component analysis (PCA) is important to summarize data or reduce dimensionality. However, one disadvantage of using PCA is the interpretability of the principal components (PCs), especially in a high-dimensional database. This study aims to analyze the patterns of variance accumulation according to PCA loadings and to approximate PCs with input variables from sample data sets.Methods:There were three data sets of various sizes used to understand the performance of PC approximation: Hitters; SF-12v2 subset of the 2004 to 2011 Medical Expenditure Panel Survey (MEPS); and, the full set of 1996 to 2011 MEPS data. The variables in three data sets were first centered and scaled before PCA. PCs approximation was studied with two approaches. First, the PC loadings were squared to estimate the variance contribution by variables to PCs. The other method was to use forward-stepwise regression to approximate PCs with all input variables.Results:The first few PCs represented large portions of total variances in each data set. Approximating PCs using stepwise regression could more efficiently identify the input variables that explain large portions of PC variances than approximating according to PCA loadings in three data sets. It required few numbers of variables to explain more than eighty percent of the PC variances.Conclusions:Approximating and interpreting PCs with stepwise regression is highly feasible. Approximating PCs can help i) interpret PCs with input variables, ii) understand the major sources of variances in data sets, iii) select unique sources of information and iv) search and rank input variables according to the proportions of PC variance explained. This is an approach to systematically understand databases and search for variables that are highly representative of databases.",step2,True
Location in Home Office,"In this project we investigate the well-being of full-time workers during the COVID-19 pandemic with special focus on the aspect of working from home. Within this domain, we look deeper into the meaning of the home and possible changes made to one’s home, especially the location from where the work is done. The COVID-19 pandemic forced many people into working from home to suppress the spreading of the new SARS-CoV-2 virus, even though many workers didn't have prior experience with teleworking. In order to mitigate possible negative effects of this sudden change, we strive to give empirically grounded recommendations on how to best organize one’s workplace. The topic of the home deserves special attention, since one’s dwelling is predominantly a space of restoration and separation from work, albeit having its own demands and stressors. The unforeseen and maybe even undesired intrusion of the work environment into the private environment poses a challenge onto individuals and their families/co-inhabitants. One such challenge is the separation of work and leisure, especially during the COVID-19 pandemic, when outside leisure activities were also restricted. To help separate work from leisure, government agencies and private consulting firms recommended creating a separate space to work out of. This endeavor might entail the consumption of many resources since enacting active change in one’s surroundings requires effort and time. To find out, whether this change in one’s home leads to a better working experience and better restoration, we try to observe such changes in one’s work environment at home and to link them to subsequent changes in the work experience.

Specifically, we focus on the outcome of home-office self-efficacy. We hypothesize that having more physical separation between work and nonwork domains through a separate workspace or study, will lead to a greater feeling of self-efficacy as an indicator of resource level and a predictor of many other workplace outcomes. As underlying mechanisms for this association, we bring forward two processes: one of resource drain and one of resource restoration. We apply the lens of the social ecology of stress and restoration (Hartig et al., 2003) to measure the manifestation of these processes. This perspective suggests the existence of stress-restoration cycles, where resources need to be allocated towards coping with incoming demands and need to be replenished through restoration afterwards. These cycles happen regularly in so-called activity cycles, which take place in specific settings at specific times. Given the particular physical, psychological and social characteristics of a space and of the individual residing in it, the surrounding can have either a meaning of stressfulness or of capacity for restoration for the individual. In an empirical evaluation of this theory, Hartig et al. (2007) found preliminary support pointing towards a higher perception of the home as a place of stressfulness for teleworkers compared to non-teleworkers. We strife to understand this effect more closely by incorporating it as a mediator between the physical characteristic of the home (i.e. physical separation between work and nonwork domains at home) and home-office self-efficacy.

As the resource draining path, we expect the lack of a designated, separated workplace to act as a difficult working condition exacerbating domain conflicts and interrole transitioning efforts. Literature on role segregation and integration (e.g., Ashforth et al., 2000) suggests the existence of more or less integrated roles within one person – most prominently the work and nonwork/family roles. Based on the contrast between these roles regarding different locations, time of enactment, behavioral scripts and more, the transitioning between these roles happens more or less easily. Helping with these transitions are certain rites that people developed, facilitating role exit, movement, and role entry. We argue, that on the one hand, the contrast between the roles concerning behavioral scripts did not change in a systematic way due to the forced nature of working from home during the COVID-19 pandemic, meaning that task requirements and other role-defining work characteristics stayed essentially the same, as opposed to for example a situation where one decides voluntarily to move into the home-office since their task-characteristics changed and became more compatible with nonwork demands. On the other hand, the rites that facilitated role transitioning before, mainly those that were based on spatial separation, weren’t applicable anymore. Meanwhile, role transitions possibly became more frequent because the domains moved closer together. In summary, we argue, that role transitions remained as effortful, with more transitions needed during the day, while the rites helping with role transitioning were reduced. This leads to more resources being needed to transition between roles, maintain boundaries, and with resources being allocated in different domains to respond to the tasks at hand there. This resource draining process should manifest in the perception of the home-office as a place of hindering demands and obstacles.

The other mechanism, resource replenishment, occurs after resources have been spent and need to be restored. The home is being regarded as the primary location for restoration, besides the natural environment. Empirical evidence suggests that the home has a symbolic value to its residents, as being a safe haven, a place of refuge, security, and control, or as a private space, where intrusion from the outside is forbidden. In the context of the COVID-19 pandemic and the forced arrangement of working from home, the work domain intruded into the home space involuntarily. With the risen (boundary) work demands, the evaluation of the home runs the risk of losing the positive evaluation of being a place with high restorative capacity. This could be detrimental to the resource replenishment of individuals since other restorative activities were restricted as well. This could lead to a generally diminished level of resources, which then cannot be used to overcome new demands, thereby reducing the personal feeling of accomplishment and therefore self-efficacy. We argue that separating work and leisure spatially at home could mitigate this negative effect, by creating distinct spaces which are predominantly used for one domain or the other. Thereby a transition between a place of work and a place of leisure is possible and restoration can happen more easily. This should manifest in the perception of the home-office as a place of restoration.

When doing research on telecommuting, one important moderator quickly emerges: the extent of telecommuting or time spent working from home. There are two possible directions of how this moderator could influence the effects hypothesized above: On the one hand, extensive telework could make the presence of a workspace more important, since more time is being spent working at home and there are more possibilities for role transitioning and domain conflict, while low extent telework could make home adjustment obsolete. On the other hand, people who work extensively at home could develop behavioral scripts and other coping mechanisms directed at keeping detrimental effects at bay, therefore buffering the indirect effect of a physical space, while people working from home rather sporadically could lack this behavioral adaptation due to less experience, making a separate workspace more important. Furthermore, a quadratic relationship is conceivable, where working a moderate amount of time at home makes physical adjustment relevant, while high and low telecommuting intensity doesn’t require a separate workspace as urgently because of the reasons outlined above. We explore the effect, teleworking extent has on the mediated relationship between workspace at home and home-office self-efficacy.

We test these associations in a large, longitudinal sample of full-time workers, first as a multilevel mediation across all time points. To better understand the causality of these effects, we then take a subsample of people, who have experienced a change in their work location at home and investigate the subsequent changes in the variables outlined above, using discontinuous growth modeling.",step2,True
Industry Research Using the Economic Census,"Many business researchers, from novice to expert, have been amazed to find that the answers to their questions could be found in the Economic Censuses provided by the U.S. government. Until now, there have been no comprehensive guides to this valuable resource.Industry Research Using the Economic Censusexplains Census concepts, methods, terminology, and data sources in an understandable manner, and assists Census users in locating needed Census data. Designed as a working handbook, it does not duplicate the data from the census, but introduces users to the features, uses, and formats of the data. This guidebook also discusses the important changes that the 1997 and 2002 Economic Censuses introduced from previous versions. Librarians, businesspeople, researchers, faculty, and students will find this guide valuable for mining the riches found in the Economic Censuses.",step2,True
From Service to Census: Using the Office for National Statistics (ONS) Longitudinal Study to examine the health and occupational outcomes of UK veterans.,"Study Information
Background
The UK Census, administered by the Office for National Statistics (ONS), is a critical resource helping to guide the apportionment of resources and long-term planning in areas such as healthcare, housing, economic development, and education. The Census has been conducted every ten years since 1801, except for a pause in 1941. While the underlying fundamentals remain consistent, questions have been updated to reflect the needs of an evolving nation. 

Before the 2021 Census, data on prior service in the UK Armed Forces (AF) was not collected. Estimates of the UK veteran population were derived from previous service counts and extrapolation from surveys(1,2). This lack of systematic data collection resulted in limited knowledge of the veteran population as a whole and hindered the evaluation of key social, health, and economic outcomes. In response to the critical need for systematic data collection concerning the veteran population, a question concerning ‘veteran status’ was finally included in the 2021 Census. From the 2021 Census, 1,853,112 individuals aged 16 and older identified as veterans (regular or reserve), representing 3.8% of the population in England and Wales(3).

Enumeration of the veteran population supports the UK Government in abiding by its commitments under the UK Armed Forces Covenant(4) by providing accurate, systematic data on the veteran population.  In the Covenant, the Government acknowledges the profound sacrifices of service members. It asserts its obligation to ensure service members, and their families are not disadvantaged by their service(4). This data helps the government identify and address any disadvantages veterans might face due to their service, ensuring they receive appropriate support in areas like healthcare, housing, and employment. This enhanced data collection allows for better-informed policies and resource allocation, particularly for subgroups of veterans who may be at greater risk of adverse outcomes.

With the 2021 Census, it is now possible to directly compare the health and economic status of veterans and non-veterans. The census data show that many labour force indicators, such as economic activity and unemployment, are generally similar between veterans and non-veterans when matched by age, sex, and region (5). However, some notable differences have emerged, particularly in employment sectors, work patterns, and self-employment rates. Veterans are more likely to work in the public administration and defence sectors, more likely to work over 49 hours per week, and less likely to be self-employed compared to non-veterans (5). In terms of health and disability, veterans reported slightly higher rates of disability and poorer general health (classified as bad or very bad) than non-veterans (5). However, after adjusting for age, sex, region, and ethnicity, these differences were primarily observed among veterans who identified as white or of mixed ethnicity, while other groups showed more comparable health outcomes to non-veterans(5).

It is important to recognize that veterans are not a homogeneous group. Older veterans are predominantly white, while younger veterans are more ethnically diverse, with a higher representation of women.

The availability of nationally representative data on the veteran population allows us to build a robust evidence base to identify subgroups of veterans who may benefit from targeted resources and services. This data also supports strategic planning to meet the short- and long-term needs of the UK veteran population. By examining changes in economic activity, general health, and disability over time, we can better understand the varying experiences of veterans, accounting for differences in pre-service, in-service, and post-service factors that may influence these outcomes

Our project will be the first step in providing an in-depth picture of veterans' health and economic status within England and Wales using a longitudinal linked data from the UK census. For this analysis, we will have priority access to an early release of the ONS Longitudinal Study (LS), which links successive waves of census data for a 1% sample of the Census and is generalisable to the population of England and Wales. We will explore three major outcomes among veterans and examine how these outcomes compare to nonveterans over time: self-reported general health, limiting disability, and economic activity.",step2,True
Welfare quality and immigration,"The upcoming data collection will assemble information regarding two main hypotheses:
1) The first stimulus (long waiting lists for surgery in Swedish healthcare) is expected to decrease willingness to accept refugees. This finding was made in an earlier explorative analysis and the new survey-experiment replicates that study to confirm the hypothesis. Theoretically the argument is that newly arrived refugees in the short run will not increase health care personnel, but they will need health care and hence increase the pressure on existing health care provision.
2) The second stimulus (information of the number of Ukrainian refugees that will arrive in Sweden over the next three months) is according to the same logic expected to increase the downwards pressure on respondents’ perceptions of health care quality. This experiment is new and while the stimulus is strong (the number expected to arrive in 2022 is bigger than in 2015), we are in a turbulent situation where feelings of sympathy for the refugees are very high.",step2,True
