,ProjectID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectStartYear,ProjectEndYear,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages,DOI,Authors,Abstract,DoiExtract,NormTitle,MatchType,Uniqueness,FuzzScores,FSRDC_related
0,,,The Effect of Oil News Shocks on Job Creation and Destruction,,,,Ryan Hanson & Ana María Herrera,The Effect of Oil News Shocks on Job Creation and Destruction,,,,,,,,,,,Ryan Hanson & Ana María Herrera,"Using data from the Annual Survey of Manufactures (ASM) and the Census of Manufacturing (CMF), we construct quarterly measures of job creation and destruction by 3-digit NAICS industries spanning from 1980Q3-2016Q4. These long series allow us to address three questions regarding the effect of oil news shocks. What is the average effect of oil news shocks on sectoral labor reallocation? What characteristics explain the observed heterogeneity in the average responses across industries? Has the response of US manufacturing changed over time? We find evidence that oil news shocks exert only a moderate effect on total manufacturing net employment growth but lead to a significant increase in job reallocation. However, we find a high degree of heterogeneity in responses across industries. We then show that the cross-industry variation in the sensitivity of net employment growth and excess job reallocation to oil news shocks is related to differences in energy costs, the rate of energy to capital expenditures, and the share of mature firms in the industry. Finally, we illustrate how the dynamic response of sectoral job creation and destruction to oil news shocks has declined since the mid-2000s.",,theeffectofoilnewsshocksonjobcreationanddestruction,,True,62.0,True
1,,,"CTC and ACTC Participation Results and IRS-Census Match Methodology, Tax Year 2020",,,,Ciyata Coleman & Charles Hokayem & Sanghun (Eric) Kim & Ethan Krohn & Krishnan Patel & Dean Plueger,"CTC and ACTC Participation Results and IRS-Census Match Methodology, Tax Year 2020",,,,,,,,,,,Ciyata Coleman & Charles Hokayem & Sanghun (Eric) Kim & Ethan Krohn & Krishnan Patel & Dean Plueger,"The Child Tax Credit (CTC) and Additional Child Tax Credit (ACTC) offer assistance to help ease the financial burden of families with children. This paper provides taxpayer and dollar participation estimates for the CTC and ACTC covering tax year 2020. The estimates derive from an approach that relies on linking the 2021 Current Population Survey Annual Social and Economic Supplement (CPS ASEC) to IRS administrative data. This approach, called the Exact Match, uses survey data to identify CTC/ACTC eligible taxpayers and IRS administrative data to indicate which eligible taxpayers claimed and received the credit. Overall in tax year 2020, eligible taxpayers participated in the CTC and ACTC program at a rate of 93 percent while dollar participation was 91 percent.",,ctcandactcparticipationresultsandirscensusmatchmethodologytaxyear2020,,True,48.0,True
2,,,"EITC Participation Results and IRS-Census Match Methodology, Tax Year 2021",,,,Ciyata Coleman & Charles Hokayem & Sanghun (Eric) Kim & Ethan Krohn & Krishnan Patel & Dean Plueger,"EITC Participation Results and IRS-Census Match Methodology, Tax Year 2021",,,,,,,,,,,Ciyata Coleman & Charles Hokayem & Sanghun (Eric) Kim & Ethan Krohn & Krishnan Patel & Dean Plueger,"The Earned Income Tax Credit (EITC), enacted in 1975, offers a refundable tax credit to low income working families. This paper provides taxpayer and dollar participation estimates for the EITC covering tax year 2021. The estimates derive from an approach that relies on linking the 2022 Current Population Survey Annual Social and Economic Supplement (CPS ASEC) to IRS administrative data. This approach, called the Exact Match, uses survey data to identify EITC eligible taxpayers and IRS administrative data to indicate which eligible taxpayers claimed and received the credit. Overall in tax year 2021 eligible taxpayers participated in the EITC program at a rate of 78 percent while dollar participation was 81 percent.",,eitcparticipationresultsandirscensusmatchmethodologytaxyear2021,,True,47.0,True
3,,,The Census Historical Environmental Impacts Frame,,,,Jennifer R. Withrow & Kendall A. Houghton & Eva Lyubich & Mary Munro & Suvy Qin & John L. Voorheis,The Census Historical Environmental Impacts Frame,,,,,,,,,,,Jennifer R. Withrow & Kendall A. Houghton & Eva Lyubich & Mary Munro & Suvy Qin & John L. Voorheis,"The Census Bureau’s Environmental Impacts Frame (EIF) is a microdata infrastructure that combines individual-level information on residence, demographics, and economic characteristics with environmental amenities and hazards from 1999 through the present day. To better understand the long-run consequences and intergenerational effects of exposure to a changing environment, we expand the EIF by extending it backward to 1940. The Historical Environmental Impacts Frame (HEIF) combines the Census Bureau’s historical administrative data, publicly available 1940 address information from the 1940 Decennial Census, and historical environmental data. This paper discusses the creation of the HEIF as well as the unique challenges that arise with using the Census Bureau’s historical administrative data.",,thecensushistoricalenvironmentalimpactsframe,,True,53.0,True
4,,,Exploratory Report: Annual Business Survey Ownership Diversity and Its Association with Patenting and Venture Capital Success,,,,Timothy Wojan,Exploratory Report: Annual Business Survey Ownership Diversity and Its Association with Patenting and Venture Capital Success,,,,,,,,,,,Timothy Wojan,"The Annual Business Survey (ABS) as the replacement for the Survey of Business Owners (SBO) serves as the principal data source for investigating business ownership of minorities, women, and immigrants. As a combination of SBO, the innovation questions formerly collected in the Business R&D and Innovation Survey (BRDIS), and an R&D module for microbusinesses with fewer than 10 employees, ABS opens new research opportunities investigating how ownership demographics are associated with innovation. One critical issue that ABS is uniquely able to investigate is the role that diversity among ownership teams plays in facilitating innovation or intermediate innovation outcomes in R&D-performing microbusinesses. Earlier research using ABS identified both demographic and disciplinary diversity as strong correlates to new-to-market innovation. This research investigates the extent to which the various forms of diversity also impact tangible innovation related intermediate outcomes such as the awarding of patents or securing venture capital financing for R&D. The other major difference with the earlier work is the focus on R&D-performing microbusinesses that are an essential input to radical innovation through the division of innovative labor. Evidence that disciplinary and/or demographic diversity affect the likelihood of receiving a patent or securing venture capital financing by small, high-tech start-ups may have implications for higher education, affirmative action, and immigration policy.",,exploratoryreport:annualbusinesssurveyownershipdiversityanditsassociationwithpatentingandventurecapitalsuccess,,True,58.0,True
5,,,Gradient Boosting to Address Statistical Problems Arising from Non-Linkage of Census Bureau Datasets,,,,Matthew Cefalu & John Sullivan & Narayan Sastry & Elizabeth Fussell & Todd Gardner,Gradient Boosting to Address Statistical Problems Arising from Non-Linkage of Census Bureau Datasets,,,,,,,,,,,Matthew Cefalu & John Sullivan & Narayan Sastry & Elizabeth Fussell & Todd Gardner,"This article introduces the twangRDC package, which contains functions to address non-linkage in US Census Bureau datasets. The Census Bureau’s Person Identification Validation System facilitates data linkage by assigning unique person identifiers to federal, third party, decennial census, and survey data. Not all records in these datasets can be linked to the reference file and as such not all records will be assigned an identifier. This article is a tutorial for using the twangRDC to generate nonresponse weights to account for non-linkage of person records across US Census Bureau datasets.",,gradientboostingtoaddressstatisticalproblemsarisingfromnonlinkageofcensusbureaudatasets,,True,50.0,True
6,,,Does Rapid Transit and Light Rail Infrastructure Improve Labor Market Outcomes?,,,,Maysen Yen,Does Rapid Transit and Light Rail Infrastructure Improve Labor Market Outcomes?,,,,,,,,,,,Maysen Yen,"Public transit has often been proposed as a solution to the spatial mismatch hypothesis but the link between public transit accessibility and employment has not been firmly established in the literature. Los Angeles provides an interesting case study – as the city has transformed from zero rail infrastructure before the 1990s to a large network consisting of subway, light rail, and bus rapid transit servicing diverse neighborhoods. I use confidential panel data from the American Community Survey, treating route placement as endogenous, which is then instrumented by the distance from the centroid of each tract in LA to a hypothetical Metro route. Overall, I find proximity to Metro stations increases employment for residents, which is robust to using both a binary and continuous measure of distance. Additionally, I find evidence that increased job density in neighborhoods near new transit stations is contributing to the employment increase.",,doesrapidtransitandlightrailinfrastructureimprovelabormarketoutcomes?,,True,55.0,True
7,,,Interpreting Cohort Profiles of Lifecycle Earnings Volatility,,,,Richard Blundell & Christopher R. Bollinger & Charles Hokayem & James P. Ziliak,Interpreting Cohort Profiles of Lifecycle Earnings Volatility,,,,,,,,,,,Richard Blundell & Christopher R. Bollinger & Charles Hokayem & James P. Ziliak,"We present new estimates of earnings volatility over time and the lifecycle for men and women by race and human capital. Using a long panel of restricted-access administrative Social Security earnings linked to the Current Population Survey, we estimate volatility with both transparent summary measures, as well as decompositions into permanent and transitory components. From the late 1970s to the mid 1990s there is a strong negative trend in earnings volatility for both men and women. We show this is driven by a reduction in transitory variance. Starting in the mid 1990s there is relative stability in trends of male earnings volatility because of an increase in the variance of permanent shocks, especially among workers without a college education, and a more attenuated trend decline among women. Cohort analyses indicate a strong U-shape pattern of volatility over the working life, which comes from large permanent shocks early and later in the lifecycle. However, this U-shape shifted downward and leftward in more recent cohorts, the latter from the fanning out of lifecycle transitory volatility in younger cohorts. These patterns are more pronounced among White men and women compared to Black workers.",,interpretingcohortprofilesoflifecycleearningsvolatility,,True,55.0,True
8,,,Where Are Your Parents? Exploring Potential Bias in Administrative Records on Children,,,,Jennifer Bernard & Kelsey Drotning & Katie R. Genadek,Where Are Your Parents? Exploring Potential Bias in Administrative Records on Children,,,,,,,,,,,Jennifer Bernard & Kelsey Drotning & Katie R. Genadek,"This paper examines potential bias in the Census Household Composition Key's (CHCK) probabilistic parent-child linkages. By linking CHCK data to the American Community Survey (ACS), we reveal disparities in parent-child linkages among specific demographic groups and find that characteristics of children that can and cannot be linked to the CHCK vary considerably from the larger population. In particular, we find that children from low-income, less educated households and of Hispanic origin are less likely to be linked to a mother or a father in the CHCK. We also highlight some data considerations when using the CHCK.",,whereareyourparents?exploringpotentialbiasinadministrativerecordsonchildren,,True,49.0,True
10,,,An In-Depth Examination of Requirements for Disclosure Risk Assessment,,,,Ron S. Jarmin & John M. Abowd & Robert Ashmead & Ryan Cumings-Menon & Nathan Goldschlag & Michael B. Hawes & Sallie Ann Keller & Daniel Kifer & Philip Leclerc & Jerome P. Reiter & Rolando A. Rodríguez,An In-Depth Examination of Requirements for Disclosure Risk Assessment,,,,,,,,,,,Ron S. Jarmin & John M. Abowd & Robert Ashmead & Ryan Cumings-Menon & Nathan Goldschlag & Michael B. Hawes & Sallie Ann Keller & Daniel Kifer & Philip Leclerc & Jerome P. Reiter & Rolando A. Rodríguez,"The use of formal privacy to protect the confidentiality of responses in the 2020 Decennial Census of Population and Housing has triggered renewed interest and debate over how to measure the disclosure risks and societal benefits of the published data products. Following long-established precedent in economics and statistics, we argue that any proposal for quantifying disclosure risk should be based on pre-specified, objective criteria. Such criteria should be used to compare methodologies to identify those with the most desirable properties. We illustrate this approach, using simple desiderata, to evaluate the absolute disclosure risk framework, the counterfactual framework underlying differential privacy, and prior-to-posterior comparisons. We conclude that satisfying all the desiderata is impossible, but counterfactual comparisons satisfy the most while absolute disclosure risk satisfies the fewest. Furthermore, we explain that many of the criticisms levied against differential privacy would be levied against any technology that is not equivalent to direct, unrestricted access to confidential data. Thus, more research is needed, but in the near-term, the counterfactual approach appears best-suited for privacy-utility analysis.",,anindepthexaminationofrequirementsfordisclosureriskassessment,,True,51.0,True
